ASOCIACION,TIPO,AÑO,VISITANTES
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2018,145.0
Asociacion Comunal de Turismo Ccotos,NACIONAL,2018,60.0
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2019,195.0
Asociacion Comunal de Turismo Ccotos,NACIONAL,2019,50.0
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2020,14.0
Asociacion Comunal de Turismo Ccotos,NACIONAL,2020,0.0
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2021,0.0
Asociacion Comunal de Turismo Ccotos,NACIONAL,2021,0.0
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2022,111.60599988992635
Asociacion Comunal de Turismo Ccotos,NACIONAL,2022,20.0
Asociacion Comunal de Turismo Ccotos,EXTRANJERO,2023,57.87804881446765
Asociacion Comunal de Turismo Ccotos,NACIONAL,2023,10.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2018,830.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2018,21.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2019,763.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2019,92.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2020,32.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2020,11.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2021,0.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2021,34.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2022,495.0
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2022,30.557529010571436
Asociacion Cultural Isla Tikonata TUR ASCITTUR,EXTRANJERO,2023,101.84148886108693
Asociacion Cultural Isla Tikonata TUR ASCITTUR,NACIONAL,2023,32.83264564971432
Asociacion Inti Wasi Lodge,EXTRANJERO,2018,378.0
Asociacion Inti Wasi Lodge,NACIONAL,2018,0.0
Asociacion Inti Wasi Lodge,EXTRANJERO,2019,347.0
Asociacion Inti Wasi Lodge,NACIONAL,2019,0.0
Asociacion Inti Wasi Lodge,EXTRANJERO,2020,0.0
Asociacion Inti Wasi Lodge,NACIONAL,2020,0.0
Asociacion Inti Wasi Lodge,EXTRANJERO,2021,0.0
Asociacion Inti Wasi Lodge,NACIONAL,2021,0.0
Asociacion Inti Wasi Lodge,EXTRANJERO,2022,254.0
Asociacion Inti Wasi Lodge,NACIONAL,2022,0.0
Asociacion Inti Wasi Lodge,EXTRANJERO,2023,223.0
Asociacion Inti Wasi Lodge,NACIONAL,2023,0.0
Asociacion Quillapata - Chifron,EXTRANJERO,2018,47.0
Asociacion Quillapata - Chifron,NACIONAL,2018,0.0
Asociacion Quillapata - Chifron,EXTRANJERO,2019,89.0
Asociacion Quillapata - Chifron,NACIONAL,2019,0.0
Asociacion Quillapata - Chifron,EXTRANJERO,2020,15.0
Asociacion Quillapata - Chifron,NACIONAL,2020,0.0
Asociacion Quillapata - Chifron,EXTRANJERO,2021,0.0
Asociacion Quillapata - Chifron,NACIONAL,2021,2.0
Asociacion Quillapata - Chifron,EXTRANJERO,2022,2.5864839999999947
Asociacion Quillapata - Chifron,NACIONAL,2022,2.2548739100714275
Asociacion Quillapata - Chifron,EXTRANJERO,2023,13.98714200000001
Asociacion Quillapata - Chifron,NACIONAL,2023,2.896479480857141
Asociacion Sumaq Wasi Tours,EXTRANJERO,2018,180.0
Asociacion Sumaq Wasi Tours,NACIONAL,2018,5.0
Asociacion Sumaq Wasi Tours,EXTRANJERO,2019,216.0
Asociacion Sumaq Wasi Tours,NACIONAL,2019,1.0
Asociacion Sumaq Wasi Tours,EXTRANJERO,2020,49.0
Asociacion Sumaq Wasi Tours,NACIONAL,2020,0.0
Asociacion Sumaq Wasi Tours,EXTRANJERO,2021,30.0
Asociacion Sumaq Wasi Tours,NACIONAL,2021,0.0
Asociacion Sumaq Wasi Tours,EXTRANJERO,2022,252.0
Asociacion Sumaq Wasi Tours,NACIONAL,2022,0.0
Asociacion Sumaq Wasi Tours,EXTRANJERO,2023,288.0
Asociacion Sumaq Wasi Tours,NACIONAL,2023,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2018,39.0
Asociacion TRC Cactus - Escallani,NACIONAL,2018,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2019,76.0
Asociacion TRC Cactus - Escallani,NACIONAL,2019,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2020,25.0
Asociacion TRC Cactus - Escallani,NACIONAL,2020,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2021,0.0
Asociacion TRC Cactus - Escallani,NACIONAL,2021,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2022,25.858712
Asociacion TRC Cactus - Escallani,NACIONAL,2022,0.0
Asociacion TRC Cactus - Escallani,EXTRANJERO,2023,22.347868000000016
Asociacion TRC Cactus - Escallani,NACIONAL,2023,0.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2018,180.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2018,5.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2019,216.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2019,1.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2020,49.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2020,0.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2021,30.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2021,0.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2022,66.6687322642939
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2022,0.0
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,EXTRANJERO,2023,15.178715083072333
Asociacion de Turismo Inca Samana Tour Collpa - Llachon,NACIONAL,2023,0.0
Asociación  Turística Santa María II,EXTRANJERO,2018,1135.0
Asociación  Turística Santa María II,NACIONAL,2018,0.0
Asociación  Turística Santa María II,EXTRANJERO,2019,1448.0
Asociación  Turística Santa María II,NACIONAL,2019,0.0
Asociación  Turística Santa María II,EXTRANJERO,2020,98.0
Asociación  Turística Santa María II,NACIONAL,2020,0.0
Asociación  Turística Santa María II,EXTRANJERO,2021,8.0
Asociación  Turística Santa María II,NACIONAL,2021,72.0
Asociación  Turística Santa María II,EXTRANJERO,2022,753.7219818915476
Asociación  Turística Santa María II,NACIONAL,2022,81.17546076257145
Asociación  Turística Santa María II,EXTRANJERO,2023,322.94654047412047
Asociación  Turística Santa María II,NACIONAL,2023,104.27326131085718
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2018,59.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2018,0.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2019,151.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2019,1.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2020,14.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2020,0.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2021,2.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2021,0.0
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2022,101.86422606398521
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2022,0.007713163178571323
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,EXTRANJERO,2023,84.5656824103157
Asociación Ecoturismo Rural Comunitario Roca Eterna Paramis,NACIONAL,2023,0.008857322785714394
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2018,912.0
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2018,0.0
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2019,1397.0
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2019,0.0
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2020,54.0
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2020,0.0
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2021,2.0
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2021,41.0
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2022,579.8834339084282
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2022,74.23054641305119
Asociación Turismo APTUR Pachamama Suyos Llachon,EXTRANJERO,2023,268.34541111787405
Asociación Turismo APTUR Pachamama Suyos Llachon,NACIONAL,2023,88.25217844921909
Asociación Turismo Central Llachon ,EXTRANJERO,2018,208.0
Asociación Turismo Central Llachon ,NACIONAL,2018,0.0
Asociación Turismo Central Llachon ,EXTRANJERO,2019,213.0
Asociación Turismo Central Llachon ,NACIONAL,2019,0.0
Asociación Turismo Central Llachon ,EXTRANJERO,2020,7.0
Asociación Turismo Central Llachon ,NACIONAL,2020,0.0
Asociación Turismo Central Llachon ,EXTRANJERO,2021,0.0
Asociación Turismo Central Llachon ,NACIONAL,2021,0.0
Asociación Turismo Central Llachon ,EXTRANJERO,2022,228.0
Asociación Turismo Central Llachon ,NACIONAL,2022,0.0
Asociación Turismo Central Llachon ,EXTRANJERO,2023,233.0
Asociación Turismo Central Llachon ,NACIONAL,2023,0.0
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2018,2319.0
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2018,0.0
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2019,2345.0
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2019,0.0
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2020,208.0
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2020,0.0
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2021,2.0
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2021,20.0
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2022,250.8981149780409
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2022,22.548739100714286
Asociación Turismo Rural Comunitario La Florida ,EXTRANJERO,2023,679.7652716965831
Asociación Turismo Rural Comunitario La Florida ,NACIONAL,2023,28.964794808571426
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2018,129.0
Asociación Turismo Rural Inca Samana ,NACIONAL,2018,0.0
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2019,239.0
Asociación Turismo Rural Inca Samana ,NACIONAL,2019,0.0
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2020,9.0
Asociación Turismo Rural Inca Samana ,NACIONAL,2020,0.0
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2021,0.0
Asociación Turismo Rural Inca Samana ,NACIONAL,2021,8.0
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2022,146.3962623243247
Asociación Turismo Rural Inca Samana ,NACIONAL,2022,9.01949564028571
Asociación Turismo Rural Inca Samana ,EXTRANJERO,2023,108.24367602848858
Asociación Turismo Rural Inca Samana ,NACIONAL,2023,11.585917923428564
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2018,873.0
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2018,0.0
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2019,1305.0
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2019,0.0
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2020,38.0
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2020,0.0
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2021,8.0
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2021,6.0
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2022,489.22426379125807
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2022,6.764621730214287
Asociación Turismo Rural Kantuta Llachon ,EXTRANJERO,2023,180.89707521294758
Asociación Turismo Rural Kantuta Llachon ,NACIONAL,2023,8.68943844257143
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2018,272.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2018,8.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2019,437.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2019,0.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2020,8.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2020,0.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2021,6.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2021,6.0
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2022,173.5187275156311
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2022,3.8737151530714287
Asociación Turismo Sumaq Hillary Santa María Llachon  ,EXTRANJERO,2023,80.97183887059592
Asociación Turismo Sumaq Hillary Santa María Llachon  ,NACIONAL,2023,3.505906716857143
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2018,116.0
Asociación Turística Kory Wasy Llachon ,NACIONAL,2018,0.0
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2019,312.0
Asociación Turística Kory Wasy Llachon ,NACIONAL,2019,0.0
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2020,33.0
Asociación Turística Kory Wasy Llachon ,NACIONAL,2020,0.0
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2021,0.0
Asociación Turística Kory Wasy Llachon ,NACIONAL,2021,0.0
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2022,181.66388464407362
Asociación Turística Kory Wasy Llachon ,NACIONAL,2022,0.0
Asociación Turística Kory Wasy Llachon ,EXTRANJERO,2023,30.20327499999998
Asociación Turística Kory Wasy Llachon ,NACIONAL,2023,0.0
Asociación Turística Llachon Tur,EXTRANJERO,2018,1305.0
Asociación Turística Llachon Tur,NACIONAL,2018,0.0
Asociación Turística Llachon Tur,EXTRANJERO,2019,1322.0
Asociación Turística Llachon Tur,NACIONAL,2019,0.0
Asociación Turística Llachon Tur,EXTRANJERO,2020,58.0
Asociación Turística Llachon Tur,NACIONAL,2020,8.0
Asociación Turística Llachon Tur,EXTRANJERO,2021,0.0
Asociación Turística Llachon Tur,NACIONAL,2021,26.0
Asociación Turística Llachon Tur,EXTRANJERO,2022,338.99690848050057
Asociación Turística Llachon Tur,NACIONAL,2022,32.38346297321428
Asociación Turística Llachon Tur,EXTRANJERO,2023,129.534570502914
Asociación Turística Llachon Tur,NACIONAL,2023,41.29886567857142
Asociación de Agroturismo San Pedro,EXTRANJERO,2018,795.0
Asociación de Agroturismo San Pedro,NACIONAL,2018,0.0
Asociación de Agroturismo San Pedro,EXTRANJERO,2019,931.0
Asociación de Agroturismo San Pedro,NACIONAL,2019,0.0
Asociación de Agroturismo San Pedro,EXTRANJERO,2020,37.0
Asociación de Agroturismo San Pedro,NACIONAL,2020,0.0
Asociación de Agroturismo San Pedro,EXTRANJERO,2021,0.0
Asociación de Agroturismo San Pedro,NACIONAL,2021,0.0
Asociación de Agroturismo San Pedro,EXTRANJERO,2022,135.3433909110305
Asociación de Agroturismo San Pedro,NACIONAL,2022,0.0
Asociación de Agroturismo San Pedro,EXTRANJERO,2023,58.7592652766308
Asociación de Agroturismo San Pedro,NACIONAL,2023,0.0
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2018,152.0
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2018,0.0
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2019,188.0
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2019,0.0
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2020,3.0
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2020,8.0
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2021,2.0
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2021,20.0
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2022,84.54513409382564
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2022,25.61884124299999
Asociación de Promoción de Turismo Rural Paramis ,EXTRANJERO,2023,37.86061238934977
Asociación de Promoción de Turismo Rural Paramis ,NACIONAL,2023,32.60942723599999
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2018,53.0
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2018,0.0
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2019,95.0
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2019,0.0
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2020,23.0
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2020,0.0
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2021,0.0
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2021,24.0
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2022,22.728743000000023
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2022,27.05848692085715
Asociación de Turismo Comunitario Munay Kantuta ,EXTRANJERO,2023,12.24878600000001
Asociación de Turismo Comunitario Munay Kantuta ,NACIONAL,2023,34.75775377028572
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2018,368.0
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2018,0.0
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2019,667.0
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2019,2.0
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2020,46.0
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2020,0.0
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2021,0.0
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2021,197.0
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2022,315.0082756821936
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2022,221.80540734067853
Asociación de Turismo Comunitario Saywa Llachon ,EXTRANJERO,2023,193.2432882454297
Asociación de Turismo Comunitario Saywa Llachon ,NACIONAL,2023,284.7914742081428
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2018,310.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2018,0.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2019,347.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2019,0.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2020,85.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2020,0.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2021,3.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2021,12.0
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2022,86.35730127933259
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2022,13.529243460428575
Asociación de Turismo Comunitario Tika Wasi Llachon ,EXTRANJERO,2023,46.51760496423982
Asociación de Turismo Comunitario Tika Wasi Llachon ,NACIONAL,2023,17.37887688514286
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2018,135.0
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2018,0.0
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2019,424.0
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2019,0.0
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2020,23.0
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2020,0.0
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2021,0.0
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2021,6.0
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2022,56.14765500000007
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2022,6.764621730214287
Asociación de Turismo Munay Ayllu Tours ,EXTRANJERO,2023,27.505809999999986
Asociación de Turismo Munay Ayllu Tours ,NACIONAL,2023,8.68943844257143
Asociación de Turismo Samarina Wasy,EXTRANJERO,2018,412.0
Asociación de Turismo Samarina Wasy,NACIONAL,2018,0.0
Asociación de Turismo Samarina Wasy,EXTRANJERO,2019,478.0
Asociación de Turismo Samarina Wasy,NACIONAL,2019,0.0
Asociación de Turismo Samarina Wasy,EXTRANJERO,2020,25.0
Asociación de Turismo Samarina Wasy,NACIONAL,2020,0.0
Asociación de Turismo Samarina Wasy,EXTRANJERO,2021,0.0
Asociación de Turismo Samarina Wasy,NACIONAL,2021,0.0
Asociación de Turismo Samarina Wasy,EXTRANJERO,2022,197.9589348176267
Asociación de Turismo Samarina Wasy,NACIONAL,2022,0.0
Asociación de Turismo Samarina Wasy,EXTRANJERO,2023,30.907823959777943
Asociación de Turismo Samarina Wasy,NACIONAL,2023,0.0
